Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
993,3278,362,100,27,0,0,0,0,4382,0,3,3,1382,490,1353,0,0,74,72,23,0,0,0,0,0,1391,1584,339,671,0,5,45,52,40,23,5,5,5,13,8,0,0,11005,449,0,314,40,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
1993,3278,362,100,27,0,0,0,0,4381,0,3,3,1382,490,1353,0,0,72,72,24,0,0,0,0,0,1391,1584,327,673,0,13,55,50,33,43,13,10,5,13,8,0,0,11005,449,0,314,40,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2994,3278,362,100,27,0,0,0,0,4381,0,3,3,1382,490,1555,0,0,72,72,23,0,0,0,0,0,1391,1584,325,674,0,14,54,60,37,39,14,9,13,17,8,0,0,11005,449,0,314,40,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
3993,3278,362,100,27,0,0,46,0,4375,201,3,3,1382,490,1555,0,0,72,72,23,0,0,0,0,0,1391,1584,8701,961,0,18,42,54,41,26,14,10,18,10,64,0,0,11005,449,0,314,40,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
4993,3278,362,100,27,9999,0,188,0,4375,822,3,3,1382,490,1555,0,0,57,72,39,0,22,17,0,0,1391,1584,8848,1164,128,26,61,57,33,50,14,26,14,10,81,0,0,11005,449,0,314,40,354,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
5993,3278,362,100,27,9999,0,177,0,4375,774,3,3,1382,490,1555,0,0,72,72,37,0,0,5,0,0,1391,1584,13002,989,0,22,52,47,22,30,13,14,22,13,98,0,0,11005,449,0,314,40,354,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6993,3278,362,100,27,9999,0,121,0,4375,529,3,3,1382,490,1555,0,0,69,72,42,0,0,11,0,0,1391,1584,14129,1221,122,18,52,70,19,40,18,5,18,9,99,0,0,11005,449,0,314,40,354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,96
7993,3278,362,100,27,9999,0,67,0,4375,293,3,3,1382,490,1555,0,0,62,72,47,0,28,9,0,0,1391,1584,11998,1212,129,21,50,50,47,31,21,14,19,9,96,0,0,11005,449,0,314,40,354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96
8995,3278,362,100,27,9999,0,124,0,4375,542,3,3,1382,490,1555,0,0,72,72,50,0,72,0,0,0,1391,1584,9550,1228,128,18,50,54,50,39,10,10,18,0,79,0,0,11005,449,0,314,40,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
9993,3278,362,100,27,9999,0,60,0,4372,262,3,3,1382,490,1555,0,0,72,72,45,0,17,7,0,0,1391,1584,17307,967,0,21,56,47,42,66,10,14,21,5,86,0,0,11005,449,0,314,40,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
