Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
990,3331,338,99,27,0,0,0,0,4332,0,3,3,1382,490,1353,0,0,74,72,22,0,0,13,0,0,1391,1584,0,1082,122,33,80,77,72,69,33,28,26,5,13,0,0,10967,426,0,291,39,331,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,96
1990,3331,338,99,27,0,0,0,0,4332,0,3,3,1382,490,1353,0,0,72,72,24,0,0,0,0,0,1391,1584,370,1086,122,9,23,33,43,5,9,0,9,0,13,0,0,10967,426,0,291,39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,96
2990,3331,338,99,27,0,0,0,0,4332,0,3,3,1382,490,1353,0,0,72,72,23,0,0,0,0,0,1391,1584,375,1088,125,5,45,28,36,6,5,5,0,0,13,0,0,10967,426,0,291,39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,96
3990,3331,338,99,27,0,0,1,0,4332,4,3,3,1382,490,1555,0,0,72,72,23,0,0,0,0,0,1391,1584,4953,1085,118,52,42,38,40,30,28,23,52,9,10,0,0,10967,426,0,291,39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,96
4991,3331,338,99,27,0,0,7,0,4332,30,3,3,1382,490,1555,0,0,58,72,36,0,28,16,0,0,1391,1584,7764,980,54,14,45,39,17,23,5,10,14,13,69,0,0,10967,426,0,291,39,331,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,96
5991,3331,338,99,27,0,0,29,0,4332,125,3,3,1382,490,1555,0,0,73,72,38,0,0,1,0,0,1391,1584,10627,993,0,22,43,43,39,47,5,22,5,5,84,0,0,10967,426,0,291,39,331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6991,3331,338,99,27,0,0,64,0,4325,276,3,3,1382,490,1555,0,0,72,72,39,0,0,0,0,0,1391,1584,12568,1036,0,21,52,31,39,39,21,10,14,0,99,0,0,10967,426,0,291,39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
7990,3331,338,99,27,9999,0,42,0,4325,181,3,3,1382,490,1555,0,0,72,72,39,0,0,0,0,0,1391,1584,10509,974,0,19,50,42,43,36,19,14,14,5,83,0,0,10967,426,0,291,39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8990,3331,338,99,27,9999,0,15,0,4325,64,3,3,1382,490,1555,0,0,72,72,38,0,0,0,0,0,1391,1584,7045,962,0,14,35,42,30,36,14,14,14,13,57,0,0,10967,426,0,291,39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
9990,3331,338,99,27,9999,0,12,0,4325,51,3,3,1382,490,1555,0,0,72,72,34,0,0,0,0,0,1391,1584,6653,1206,130,14,52,50,50,38,10,14,10,0,59,0,0,10967,426,0,291,39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,96
