Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11989,2695,555,99,28,9999,0,1285,0,4165,5352,3,3,1478,490,2000,1,0,8,72,21,0,0,72,0,0,1391,1584,4772,2547,298,9,27,45,40,31,9,4,9,15,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,298,96
12989,2695,555,99,28,9999,0,1290,0,4165,5372,3,3,1478,490,2000,1,0,10,72,23,0,0,72,0,0,1391,1584,1245,2555,298,4,50,31,27,17,0,4,4,14,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,298,96
13990,2695,555,99,28,9999,0,1283,0,4165,5343,3,3,1478,490,2000,1,0,9,72,20,0,0,72,0,0,1391,1584,5344,2549,298,9,38,27,39,17,9,4,5,0,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,298,96
14989,2695,555,99,28,9999,0,1267,0,4165,5277,3,3,1478,490,2000,1,0,8,72,21,0,0,72,0,0,1391,1584,3475,2041,303,13,31,43,31,38,4,4,13,5,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,303,96
15990,2695,555,99,28,9999,0,1317,0,4165,5485,3,3,1478,490,2000,1,0,7,72,11,0,0,72,0,0,1391,1584,42,970,97,9,36,43,39,38,9,5,0,5,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,97,96
16990,2695,555,99,28,9999,0,1292,0,4165,5381,3,3,1478,490,2000,1,0,7,72,13,0,0,72,0,0,1391,1584,28354,879,0,9,30,38,35,35,4,9,5,5,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
17990,2695,555,99,28,9999,0,1281,0,4165,5335,3,3,1478,490,2000,1,0,10,72,22,0,0,72,0,0,1391,1584,15757,893,0,13,11,45,11,28,0,0,13,14,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
18990,2695,555,99,28,9999,0,1274,0,4161,5301,3,3,1478,490,2000,1,0,9,72,20,0,0,72,0,0,1391,1584,1051,870,0,5,31,11,26,16,5,0,0,10,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
20003,2630,624,99,28,9999,0,1285,0,4161,5346,3,3,1478,490,2000,1,0,8,72,28,0,0,72,0,0,1391,1584,0,955,143,9,23,23,15,19,0,0,9,10,99,0,0,13110,741,0,564,44,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,96
20990,2630,624,99,28,9999,0,1250,0,4161,5201,3,3,1478,490,2000,1,0,8,72,29,0,0,72,0,0,1391,1584,0,955,143,9,23,23,15,19,0,0,9,10,99,0,0,13110,741,0,564,44,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,96
21990,2630,624,99,28,9999,0,1285,0,4161,5346,3,3,1478,490,2000,1,0,9,72,21,0,0,72,0,0,1391,1584,3626,871,0,9,36,31,17,30,9,0,0,19,99,0,0,13110,741,0,564,44,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
22990,2630,624,99,28,9999,0,1291,0,4161,5371,3,3,1478,490,2000,1,0,10,72,20,0,0,72,0,0,1391,1584,2026,911,0,9,30,19,39,16,9,0,4,10,99,0,0,13110,741,0,564,44,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
