Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11992,2868,416,95,19,9999,0,1445,0,4007,5790,3,3,1478,490,2000,1,0,20,72,48,0,12,69,0,0,1391,1584,19082,976,0,18,45,39,50,42,9,18,10,18,97,0,0,12415,521,0,367,40,407,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
12992,2868,416,95,19,9999,0,1447,0,4007,5798,3,3,1478,490,2000,1,0,38,72,53,0,20,30,0,0,1391,1584,19427,939,0,5,47,39,31,33,5,5,5,21,87,0,0,12415,521,0,367,40,407,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
13992,2868,416,95,19,9999,0,1301,0,4007,5213,3,3,1478,490,2000,1,0,32,72,55,0,13,42,0,0,1391,1584,65535,1370,298,9,52,47,40,45,0,0,9,21,99,0,0,12415,521,0,367,40,407,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,96
14992,2868,416,95,19,9999,0,1303,0,4007,5221,3,3,1478,490,2000,1,0,8,72,23,2,0,70,0,0,1391,1584,65535,949,0,0,38,39,31,34,0,0,0,18,99,0,0,12415,521,0,367,40,407,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
15993,2868,416,95,19,9999,0,1317,0,4007,5277,3,3,1478,490,2000,1,0,8,72,11,0,0,72,0,0,1391,1584,65535,903,0,5,29,26,36,25,0,0,5,10,99,0,0,12415,521,0,367,40,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
16993,2868,416,95,19,9999,0,1265,0,4007,5068,3,3,1478,490,2000,1,0,8,72,12,0,0,72,0,0,1391,1584,65535,953,0,4,43,45,47,33,4,4,0,18,99,0,0,12415,521,0,367,40,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
17993,2868,416,95,19,9999,0,1267,0,4007,5076,3,3,1478,490,2000,1,0,8,72,12,0,0,72,0,0,1391,1584,65535,967,0,9,43,43,35,38,9,0,4,17,99,0,0,12415,521,0,367,40,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
18993,2868,416,95,19,9999,0,1312,0,4007,5257,3,3,1478,490,2000,1,0,8,72,20,0,0,72,0,0,1391,1584,2082,871,0,4,40,31,38,36,4,4,4,14,99,0,0,12415,521,0,367,40,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
20005,2844,458,95,19,9999,0,1354,0,4007,5425,3,3,1478,490,2000,1,0,9,72,21,0,0,72,0,0,1391,1584,48007,891,0,5,40,41,38,42,0,5,4,13,67,0,0,12737,573,0,399,44,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
20993,2844,458,95,19,9999,0,1500,0,4007,6090,3,3,1478,490,2000,1,0,52,72,57,0,32,49,0,0,1391,1584,8286,931,0,14,51,43,50,25,14,14,9,5,93,0,0,12737,573,0,399,44,443,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
