Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11990,3293,351,100,28,9999,0,133,0,4368,580,3,2,1382,490,1804,0,0,72,72,32,0,0,0,0,0,1391,1584,5504,1035,0,65,63,55,72,57,42,65,44,25,48,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
12990,3293,351,100,28,9999,0,85,0,4369,371,3,3,1382,441,1804,0,0,72,72,32,0,0,0,0,0,1391,1584,5045,1210,100,31,60,63,52,50,31,25,31,14,45,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,100,96
13990,3293,351,100,28,9999,0,36,0,4369,157,3,2,1382,441,1804,0,0,72,72,31,0,0,0,0,0,1391,1584,5122,1071,0,28,50,55,57,64,22,21,28,21,48,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
14990,3293,351,100,28,9999,0,27,0,4369,117,3,2,1382,441,1804,0,0,72,72,32,0,0,0,0,0,1391,1584,5200,1073,0,28,55,64,50,60,26,21,28,18,46,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
15990,3293,351,100,28,9999,0,142,0,4369,620,3,2,1382,441,1804,0,0,72,72,30,0,0,0,0,0,1391,1584,5370,1075,0,89,39,57,70,61,36,89,52,10,48,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
16990,3293,351,100,28,9999,0,104,0,4369,454,3,2,1382,441,1804,0,0,72,72,31,0,0,0,0,0,1391,1584,5088,1053,0,77,59,47,59,47,47,52,77,10,45,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
17990,3293,351,100,28,9999,0,80,0,4369,349,3,2,1382,441,1804,0,0,72,72,31,0,0,0,0,0,1391,1584,5201,1054,0,95,44,56,52,37,39,38,95,5,46,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
18990,3293,351,100,28,9999,0,40,0,4369,174,3,2,1382,441,1804,0,0,72,72,31,0,0,0,0,0,1391,1584,5059,1045,0,85,50,55,61,47,45,44,85,14,45,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
20005,3211,426,100,28,9999,0,47,0,4369,205,3,2,1382,441,1804,0,0,72,72,31,0,0,0,0,0,1391,1584,4818,1040,0,71,54,46,54,33,42,71,68,10,43,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
20993,3211,426,100,28,9999,0,56,0,4369,244,3,2,1382,441,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,5327,1035,0,95,50,47,58,35,38,95,33,10,47,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
