Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11992,3232,346,100,29,9999,0,17,0,4370,74,3,2,1382,441,1804,0,0,72,72,33,0,0,0,0,0,1391,1584,6152,1070,0,31,62,56,63,58,19,19,31,18,53,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
12995,3232,346,100,29,9999,0,21,0,4370,91,3,2,1382,441,1804,0,0,72,72,32,0,0,0,0,0,1391,1584,5989,1066,0,31,45,54,63,65,14,15,31,18,52,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
13990,3232,346,100,29,9999,0,56,0,4370,244,3,2,1382,490,1804,0,0,72,72,31,0,0,0,0,0,1391,1584,8491,1206,0,30,71,66,66,80,23,30,28,21,73,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
14990,3232,346,100,29,9999,0,81,0,4370,353,3,3,1382,490,1804,0,0,73,72,34,0,0,0,0,0,1391,1584,8193,1274,122,34,89,75,76,61,30,28,34,25,72,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,96
15992,3232,346,100,29,9999,0,100,0,4368,436,3,2,1382,441,1804,0,0,72,72,34,0,0,0,0,0,1391,1584,8049,1047,0,37,75,71,80,91,25,33,37,14,74,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,96
16992,3232,346,100,29,9999,0,103,0,4367,449,3,3,1382,490,1804,0,0,72,72,34,0,0,0,0,0,1391,1584,6501,1277,130,31,64,72,73,86,31,22,30,14,57,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,311,441,96
17991,3232,346,100,29,9999,0,23,0,4368,100,3,3,1382,490,1804,0,0,72,72,33,0,0,0,0,0,1391,1584,6407,1274,130,26,60,69,60,68,26,11,25,21,58,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,130,96
18991,3232,346,100,29,9999,0,62,0,4368,270,3,3,1382,490,1804,0,0,72,72,32,0,0,0,0,0,1391,1584,5517,1256,128,33,73,75,62,64,33,22,30,18,52,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,128,96
20004,3194,375,100,29,9999,0,71,0,4368,310,3,3,1382,490,1804,0,0,72,72,32,0,0,0,0,0,1391,1584,7311,1265,119,36,63,63,62,52,5,36,23,14,61,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,96
20992,3194,375,100,29,9999,0,138,0,4368,602,3,3,1382,490,1555,0,0,73,72,32,0,0,0,0,0,1391,1584,8610,1282,126,35,75,57,63,52,33,30,35,5,74,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,96
