Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
990,3343,338,99,28,0,0,0,0,4332,0,3,3,1382,490,1353,0,0,74,72,23,0,0,7,0,0,1391,1584,335,1638,125,18,33,39,39,28,5,9,18,13,15,0,0,10993,437,0,292,37,330,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,96
1990,3343,338,99,28,0,0,0,0,4332,0,3,3,1382,490,1353,0,0,72,72,24,0,0,0,0,0,1391,1584,0,677,0,13,26,11,16,27,0,13,9,5,8,0,0,10993,437,0,292,37,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2990,3343,338,99,28,0,0,0,0,4332,0,3,3,1382,490,1353,0,0,72,72,22,0,0,0,0,0,1391,1584,327,678,0,9,18,39,30,21,0,9,0,10,9,0,0,10993,437,0,292,37,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
3990,3343,338,99,28,0,0,0,0,4332,0,3,3,1382,490,1555,0,0,72,72,23,0,0,0,0,0,1391,1584,334,685,0,45,50,50,52,41,31,35,45,9,5,0,0,10993,437,0,292,37,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
4990,3343,338,99,28,9999,0,37,0,4328,160,3,3,1382,490,1353,0,0,29,72,41,0,16,45,0,0,1391,1584,8745,1019,0,14,54,38,55,43,14,14,14,9,81,0,0,10993,437,0,292,37,330,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
5990,3343,338,99,28,9999,0,5,0,4328,21,3,3,1382,490,1353,0,0,54,72,42,0,3,21,0,0,1391,1584,65535,875,0,9,47,39,18,38,9,4,4,9,99,0,0,10993,437,0,292,37,330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6991,3343,338,99,28,9999,0,2,0,4328,8,3,3,1382,490,1353,0,0,15,72,75,0,0,72,0,0,1391,1584,65535,967,0,5,38,42,45,36,5,5,0,9,87,0,0,10993,437,0,292,37,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
7991,3343,338,99,28,9999,0,25,0,4328,108,3,3,1382,490,1353,0,0,32,72,61,0,27,55,0,0,1391,1584,8273,1065,129,19,47,31,36,36,14,19,19,13,76,0,0,10993,437,0,292,37,330,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96
8990,3343,338,99,28,9999,0,41,0,4328,177,3,3,1382,490,1353,0,0,72,72,53,0,72,0,0,0,1391,1584,8870,1222,131,26,54,52,39,31,5,26,14,9,76,0,0,10993,437,0,292,37,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,96
9991,3343,338,99,28,9999,0,29,0,4328,125,3,3,1382,490,1353,0,0,71,72,42,0,25,0,0,0,1391,1584,9290,979,0,22,33,45,51,42,10,22,10,13,73,0,0,10993,437,0,292,37,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
