Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11992,3004,261,95,19,9999,0,1227,0,4094,5023,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6070,973,0,17,39,41,31,30,10,17,14,26,52,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
12992,3004,261,95,19,9999,0,1229,0,4044,4970,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6069,994,0,22,41,34,38,34,5,10,22,15,53,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
13992,3004,261,95,19,9999,0,1344,0,4044,5435,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,5772,943,0,19,40,31,34,37,5,5,19,22,51,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
14992,3004,261,95,19,9999,0,1252,0,4044,5063,3,3,1478,490,2000,1,0,73,72,34,0,0,10,0,0,1391,1584,6928,2574,300,19,56,50,45,50,5,10,19,0,69,0,0,11702,364,0,249,2,251,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,96
15991,3004,261,95,19,9999,0,1166,0,4044,4715,3,3,1478,490,2000,1,0,72,72,39,0,0,0,0,0,1391,1584,5972,1368,0,19,45,45,50,48,5,19,10,26,54,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
16992,3004,261,95,19,9999,0,1152,0,4044,4658,3,3,1478,490,2000,1,0,72,72,35,0,0,0,0,0,1391,1584,5886,1401,0,19,38,48,54,45,13,19,0,30,53,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
17992,3004,261,95,19,9999,0,1264,0,4044,5111,3,3,1478,490,2000,1,0,72,72,33,0,0,1,0,0,1391,1584,6230,1399,0,18,45,43,36,44,14,18,10,21,55,0,0,11702,364,0,249,2,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
18992,3004,261,95,19,9999,0,1229,0,4044,4970,3,3,1478,490,2000,1,0,73,72,35,0,0,1,0,0,1391,1584,6800,2559,298,33,54,47,52,52,5,33,27,5,70,0,0,11702,364,0,249,2,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,298,96
20002,2965,302,95,19,9999,0,1183,0,4044,4784,3,3,1478,490,2000,1,0,72,72,39,0,0,1,0,0,1391,1584,6201,1085,139,13,43,48,34,43,13,13,10,14,58,0,0,11806,417,0,245,42,287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,96
20992,2965,302,95,19,9999,0,1226,0,4044,4957,3,3,1478,490,2000,1,0,72,72,35,0,0,0,0,0,1391,1584,7131,1377,300,25,50,43,48,50,25,18,5,5,61,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,96
21992,2965,302,95,19,9999,0,1280,0,4044,5176,3,3,1478,490,2000,1,0,72,72,33,0,0,0,0,0,1391,1584,6081,956,0,18,50,36,31,37,5,9,18,5,52,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
22992,2965,302,95,19,9999,0,1125,0,4050,4556,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,5794,975,0,18,48,39,48,50,10,13,18,22,49,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
23992,2965,302,94,19,9999,0,1230,0,4050,4981,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,5312,1416,293,30,45,45,41,48,5,30,10,15,53,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,96
24992,2965,302,94,19,9999,0,1194,0,4050,4835,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,5250,1420,297,19,45,37,31,43,5,17,19,10,52,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,96
25992,2965,302,94,19,9999,0,1175,0,4050,4758,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6120,1451,297,21,53,50,54,50,21,20,19,18,58,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,96
26992,2965,302,94,19,9999,0,1160,0,4050,4698,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,5569,910,0,10,50,44,45,31,10,10,0,13,49,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
27992,2965,302,94,19,9999,0,1086,0,4050,4398,3,3,1478,490,2000,1,0,72,72,30,0,0,0,0,0,1391,1584,4844,891,0,14,47,33,35,22,14,14,13,18,43,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
28992,2965,302,94,19,9999,0,1150,0,4050,4657,3,3,1478,490,2000,1,0,72,72,30,0,0,0,0,0,1391,1584,6143,1346,300,21,35,43,47,47,14,21,10,14,53,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,96
29993,2965,302,94,19,9999,0,1181,0,4050,4783,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,6404,954,0,19,40,36,36,31,19,5,19,21,54,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
30993,2965,302,94,19,9999,0,1134,0,4050,4592,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6144,1439,275,17,47,47,59,28,10,17,14,14,59,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,96
31993,2965,302,94,19,9999,0,1270,0,4050,5143,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6198,983,0,19,47,47,50,42,18,13,19,19,54,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
32993,2965,302,94,19,9999,0,1144,0,4043,4625,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6355,960,0,22,39,31,31,35,9,14,22,10,53,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
33993,2965,302,94,19,9999,0,1140,0,4043,4609,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,6251,971,0,21,44,33,39,18,21,21,10,19,53,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
34993,2965,302,94,19,9999,0,1231,0,4043,4976,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6286,981,0,18,35,29,39,33,10,18,10,19,53,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
35993,2965,302,94,19,9999,0,1164,0,4043,4706,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6014,990,0,19,52,52,56,50,19,10,18,19,52,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
36993,2965,302,94,19,9999,0,1135,0,4043,4588,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6138,976,0,18,47,40,38,33,9,18,18,19,52,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
37993,2965,302,94,19,9999,0,1115,0,4043,4507,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,6211,982,0,18,41,47,42,31,18,13,14,23,53,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
38993,2965,302,94,19,9999,0,1112,0,4043,4495,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6251,1009,0,19,50,54,57,42,14,19,5,23,53,0,0,11806,417,0,245,42,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
