Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
35990,2734,501,100,27,9999,0,878,0,4229,3713,3,3,1478,490,2000,1,0,72,72,25,0,0,0,0,0,1391,1584,855,666,0,13,39,33,27,19,5,13,10,10,12,0,0,11885,594,0,452,42,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
36990,2734,501,100,27,9999,0,874,0,4229,3696,3,3,1478,490,2000,1,0,72,72,25,0,0,0,0,0,1391,1584,858,665,0,20,43,46,33,34,0,14,20,25,12,0,0,11885,594,0,452,42,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
37990,2734,501,100,27,9999,0,873,0,4229,3691,3,3,1478,490,2000,1,0,63,72,40,0,0,9,0,0,1391,1584,12273,978,0,26,50,39,30,33,14,22,26,14,95,0,0,11885,594,0,452,42,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
38990,2734,501,100,27,9999,0,1358,0,4229,5742,3,3,1478,490,2000,1,0,68,72,51,0,26,18,0,0,1391,1584,11749,1438,299,29,42,50,43,35,29,19,19,22,99,0,0,11885,594,0,452,42,494,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,299,96
39990,2734,501,100,27,9999,0,1434,0,4229,6064,3,3,1862,490,2000,1,0,62,72,49,0,1,6,0,0,1391,1584,14393,1446,304,22,38,43,33,23,22,5,10,21,96,0,0,11885,594,0,452,42,494,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,304,96
40990,2734,501,100,27,9999,0,1396,0,4229,5903,3,3,1478,490,2000,1,0,65,72,50,0,3,14,0,0,1391,1584,10654,1410,297,31,45,47,47,42,23,22,31,30,95,0,0,11885,594,0,452,42,494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,297,96
41990,2734,501,100,27,9999,0,1384,0,4229,5852,3,3,1478,490,2000,1,0,73,72,54,0,60,2,0,0,1391,1584,8861,1372,265,19,42,40,36,31,19,19,5,23,89,0,0,11885,594,0,452,42,494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,265,96
42990,2734,501,100,27,9999,0,1375,0,4229,5814,3,3,1478,490,2000,1,0,48,72,53,0,51,10,0,0,1391,1584,46760,1387,290,13,33,36,38,39,10,5,13,14,98,0,0,11885,594,0,452,42,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,290,96
43991,2734,501,100,27,9999,0,1241,0,4229,5248,3,3,1478,490,2000,1,0,29,72,63,0,17,58,0,0,1391,1584,31447,1409,300,17,50,47,33,54,17,0,9,27,94,0,0,11885,594,0,452,42,494,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,96
44991,2734,501,100,27,9999,0,1171,0,4197,4914,3,3,1478,490,2000,1,0,28,72,69,0,22,50,0,0,1391,1584,17435,1434,304,5,36,35,31,39,0,0,5,10,81,0,0,11885,594,0,452,42,494,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,96
45991,2734,501,100,27,9999,0,1276,0,4197,5355,3,3,1478,490,2000,1,0,64,72,51,0,28,42,0,0,1391,1584,13111,1423,301,14,48,50,37,21,5,9,14,5,99,0,0,11885,594,0,452,42,494,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,96
46991,2734,501,100,27,9999,0,1323,0,4197,5552,3,3,1766,490,2000,1,0,57,72,53,0,27,13,0,0,1391,1584,13912,1489,315,38,65,62,52,50,31,30,38,14,98,0,0,11885,594,0,452,42,494,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,96
47991,2734,501,100,27,9999,0,1402,0,4197,5884,3,3,1478,490,2000,1,0,61,72,57,0,19,19,0,0,1391,1584,11057,2530,299,28,44,48,36,45,14,28,14,5,99,0,0,11885,594,0,452,42,494,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,96
48991,2734,501,100,27,9999,0,1399,0,4197,5871,3,3,1478,490,2000,1,0,48,72,57,0,32,9,0,0,1391,1584,35199,2536,298,14,31,31,42,39,14,13,5,0,99,0,0,11885,594,0,452,42,494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,298,96
49991,2734,501,100,27,9999,0,1267,0,4197,5317,3,3,1478,490,2000,1,0,20,72,73,0,8,56,0,0,1391,1584,34027,2615,307,14,35,45,43,36,0,10,14,30,96,0,0,11885,594,0,452,42,494,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,307,96
50991,2734,501,100,27,9999,0,1327,0,4197,5569,3,3,1478,490,2000,1,0,20,72,74,0,2,64,0,0,1391,1584,14310,2571,296,22,50,47,29,39,14,14,22,5,97,0,0,11885,594,0,452,42,494,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,296,96
51991,2734,501,100,27,9999,0,1283,0,4197,5384,3,3,1478,490,2000,1,0,29,72,65,0,11,51,0,0,1391,1584,26117,2568,304,22,50,56,50,44,20,22,18,14,93,0,0,11885,594,0,452,42,494,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,96
52991,2734,501,100,27,9999,0,1295,0,4197,5435,3,3,1478,490,2000,1,0,21,72,73,0,16,59,0,0,1391,1584,9002,1397,293,10,52,31,30,36,9,10,10,10,90,0,0,11885,594,0,452,42,494,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,96
54000,2845,403,100,27,9999,0,1343,0,4197,5636,3,3,1478,490,2000,1,0,48,72,54,0,43,13,0,0,1391,1584,12727,1401,305,22,53,43,39,43,14,5,22,14,99,0,0,11947,509,0,343,46,390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,96
54991,2845,403,100,27,9999,0,1343,0,4180,5613,3,3,1478,490,2000,1,0,70,72,54,0,38,7,0,0,1391,1584,23689,1407,304,20,33,35,17,25,14,20,13,21,97,0,0,11947,509,0,343,46,390,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,96
55991,2845,403,100,27,9999,0,1270,0,4180,5308,3,3,1478,490,2000,1,0,49,72,53,0,9,48,0,0,1391,1584,32465,1416,301,5,42,39,47,39,5,5,0,19,97,0,0,11947,509,0,343,46,390,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,96
56992,2845,403,100,27,9999,0,1224,0,4180,5116,3,3,1478,490,2000,1,0,29,72,65,0,10,51,0,0,1391,1584,7415,1398,297,18,30,40,47,43,14,18,10,18,85,0,0,11947,509,0,343,46,390,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,96
57992,2845,403,100,27,9999,0,1207,0,4180,5045,3,3,1478,490,2000,1,0,53,72,55,0,59,10,0,0,1391,1584,19334,1407,290,18,27,35,38,17,18,9,13,10,85,0,0,11947,509,0,343,46,390,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,96
58992,2845,403,100,27,9999,0,1294,0,4180,5408,3,3,1478,490,2000,1,0,58,72,54,0,29,26,0,0,1391,1584,14759,935,0,13,22,30,5,25,5,9,13,5,84,0,0,11947,509,0,343,46,390,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
59992,2845,403,100,27,9999,0,1388,0,4180,5801,3,3,1478,490,2000,1,0,50,72,54,0,33,30,0,0,1391,1584,13126,1408,287,10,38,23,38,36,5,9,10,10,99,0,0,11947,509,0,343,46,390,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,96
60992,2845,403,100,27,9999,0,1203,0,4180,5028,3,3,1478,490,2000,1,0,63,72,52,0,10,10,0,0,1391,1584,42011,1393,281,9,23,22,34,36,4,9,4,5,78,0,0,11947,509,0,343,46,390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,96
